Weekday,Hour,Total_Popcorn_Sales,Revenue
Mon,0,0,0.0
Mon,1,0,0.0
Mon,2,0,0.0
Mon,3,0,0.0
Mon,4,0,0.0
Mon,5,0,0.0
Mon,6,0,0.0
Mon,7,0,0.0
Mon,8,0,29430000.0
Mon,9,0,11205000.0
Mon,10,0,14805000.0
Mon,11,0,18720000.0
Mon,12,0,8910000.0
Mon,13,1,36405000.0
Mon,14,0,21645000.0
Mon,15,0,94410000.0
Mon,16,0,15930000.0
Mon,17,0,38610000.0
Mon,18,0,36225000.0
Mon,19,3,112185000.0
Mon,20,8,71685000.0
Mon,21,0,38970000.0
Mon,22,0,38070000.0
Mon,23,0,0.0
Tue,0,0,0.0
Tue,1,0,0.0
Tue,2,0,0.0
Tue,3,0,0.0
Tue,4,0,0.0
Tue,5,0,0.0
Tue,6,0,0.0
Tue,7,0,0.0
Tue,8,0,16560000.0
Tue,9,0,10440000.0
Tue,10,0,6615000.0
Tue,11,0,18585000.0
Tue,12,0,15300000.0
Tue,13,4,18225000.0
Tue,14,0,28125000.0
Tue,15,0,51615000.0
Tue,16,0,14535000.0
Tue,17,0,32220000.0
Tue,18,0,46620000.0
Tue,19,4,207855000.0
Tue,20,9,83925000.0
Tue,21,0,23175000.0
Tue,22,0,32490000.0
Tue,23,0,0.0
Wed,0,0,0.0
Wed,1,0,0.0
Wed,2,0,0.0
Wed,3,0,0.0
Wed,4,0,0.0
Wed,5,0,0.0
Wed,6,0,0.0
Wed,7,0,1070000.0
Wed,8,0,28660000.0
Wed,9,0,28800000.0
Wed,10,0,69925000.0
Wed,11,0,3510000.0
Wed,12,1,107705000.0
Wed,13,0,62985000.0
Wed,14,0,27720000.0
Wed,15,0,73140000.0
Wed,16,0,71490000.0
Wed,17,2,31245000.0
Wed,18,0,57210000.0
Wed,19,4,120405000.0
Wed,20,3,54960000.0
Wed,21,0,40360000.0
Wed,22,0,28380000.0
Wed,23,0,11260000.0
Thu,0,0,0.0
Thu,1,0,0.0
Thu,2,0,0.0
Thu,3,0,0.0
Thu,4,0,0.0
Thu,5,0,0.0
Thu,6,0,0.0
Thu,7,0,0.0
Thu,8,0,27000000.0
Thu,9,0,27180000.0
Thu,10,0,24480000.0
Thu,11,0,49770000.0
Thu,12,0,36945000.0
Thu,13,3,77985000.0
Thu,14,0,60390000.0
Thu,15,0,82665000.0
Thu,16,0,57465000.0
Thu,17,8,56430000.0
Thu,18,2,52145000.0
Thu,19,2,190620000.0
Thu,20,1,95170000.0
Thu,21,0,70110000.0
Thu,22,0,32265000.0
Thu,23,0,0.0
Fri,0,0,0.0
Fri,1,0,0.0
Fri,2,0,0.0
Fri,3,0,0.0
Fri,4,0,0.0
Fri,5,0,0.0
Fri,6,0,0.0
Fri,7,0,0.0
Fri,8,0,10350000.0
Fri,9,0,15480000.0
Fri,10,0,24255000.0
Fri,11,0,26415000.0
Fri,12,0,27540000.0
Fri,13,0,40500000.0
Fri,14,0,55530000.0
Fri,15,0,111870000.0
Fri,16,0,50175000.0
Fri,17,0,84645000.0
Fri,18,7,56520000.0
Fri,19,0,155745000.0
Fri,20,0,86625000.0
Fri,21,0,54495000.0
Fri,22,0,37395000.0
Fri,23,0,6975000.0
Sat,0,0,0.0
Sat,1,0,0.0
Sat,2,0,0.0
Sat,3,0,0.0
Sat,4,0,0.0
Sat,5,0,0.0
Sat,6,0,0.0
Sat,7,0,0.0
Sat,8,0,19035000.0
Sat,9,0,21420000.0
Sat,10,0,48285000.0
Sat,11,0,13275000.0
Sat,12,0,28350000.0
Sat,13,0,49320000.0
Sat,14,5,97110000.0
Sat,15,0,139590000.0
Sat,16,0,36855000.0
Sat,17,0,62910000.0
Sat,18,2,98190000.0
Sat,19,0,120195000.0
Sat,20,0,73305000.0
Sat,21,0,39150000.0
Sat,22,0,29295000.0
Sat,23,0,0.0
Sun,0,0,0.0
Sun,1,0,0.0
Sun,2,0,0.0
Sun,3,0,0.0
Sun,4,0,0.0
Sun,5,0,0.0
Sun,6,0,0.0
Sun,7,0,0.0
Sun,8,0,16425000.0
Sun,9,0,8775000.0
Sun,10,0,35505000.0
Sun,11,0,33435000.0
Sun,12,0,48510000.0
Sun,13,1,89460000.0
Sun,14,2,47430000.0
Sun,15,0,142785000.0
Sun,16,3,42270000.0
Sun,17,3,108450000.0
Sun,18,6,88830000.0
Sun,19,4,156600000.0
Sun,20,3,172980000.0
Sun,21,0,61695000.0
Sun,22,0,31320000.0
Sun,23,0,0.0
